Cartridge,Bullet_Weight,B.C,Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads
7mm PRC ELD-X,175,0.689,0,3000,3496.6062,-1.5,0,0,0,0,0,0,0,0,0,-0.000666261,0,0,0,0,0,-0.04845,0,0
7mm PRC ELD-X,175,0.689,100.00001,2858.6016,3174.7644,0,0,0,-0.090645395,-0.08656635,-0.025179276,0.43113422,0.41173315,0.1197595,0.10244969,0.7942389,0.75849813,0.22062191,0,0,0,0.43113422,0.41173315,0.1197595
7mm PRC ELD-X,175,0.689,200,2722.0835,2878.7712,-2.747635,-1.3119956,-0.38161594,-0.37733746,-0.18017863,-0.05240798,1.7595513,0.84018576,0.24438213,0.20999765,1.5884342,0.75847733,0.22061586,0,0,0,1.6708027,0.7978083,0.23205593
7mm PRC ELD-X,175,0.689,300,2589.6243,2605.4202,-10.183945,-3.2418892,-0.94295794,-0.8840368,-0.28141838,-0.08185526,4.0470195,1.2883011,0.374724,0.32299477,2.3825216,0.758436,0.22060385,0,0,0,3.7180781,1.183588,0.34426647
7mm PRC ELD-X,175,0.689,400.00003,2461.1587,2353.3337,-22.796707,-5.442716,-1.5831053,-1.6366892,-0.39075953,-0.113658965,7.3619165,1.7576573,0.5112441,0.44182935,3.1765137,0.7583926,0.22059122,0,0,0,6.6255827,1.5818576,0.46010983
7mm PRC ELD-X,175,0.689,500,2336.3135,2120.6377,-41.141674,-7.858067,-2.2856507,-2.6639464,-0.50881374,-0.14799702,11.78143,2.2502527,0.6545238,0.5669398,3.9703789,0.7583424,0.22057661,0,0,0,10.452555,1.9964372,0.5806973
7mm PRC ELD-X,175,0.689,600,2215.146,1906.3778,-65.846985,-10.48066,-3.048476,-3.9968429,-0.6361642,-0.18503903,17.391802,2.7681944,0.80517584,0.69881564,4.764122,0.7582894,0.2205612,0,0,0,15.264944,2.4296691,0.7067101
7mm PRC ELD-X,175,0.689,700,2097.5706,1709.3751,-97.62802,-13.319285,-3.8741376,-5.671145,-0.7737062,-0.22504543,24.287716,3.3135374,0.963798,0.8379952,5.5575867,0.7582136,0.22053915,0,0,0,21.13433,2.8833244,0.83866334
7mm PRC ELD-X,175,0.689,800,1983.63,1528.7117,-137.29727,-16.389925,-4.767285,-7.727501,-0.9224703,-0.26831597,32.574097,3.8885314,1.1310446,0.9850736,6.350876,0.7581358,0.22051652,0,0,0,28.139395,3.3591368,0.97706133
7mm PRC ELD-X,175,0.689,900,1873.6077,1363.8342,-185.78882,-19.714365,-5.734254,-10.213148,-1.0837284,-0.3152206,42.365524,4.49545,1.3075771,1.1407015,7.1441193,0.75807035,0.22049749,0,0,0,36.364548,3.858676,1.1223607
