shooter_id,date,rifle_id,range_yd,mv_fps,mv_sd,wind_mph,wind_dir_deg,DA_ft,temp_F,pressure_inHg,rh_pct,group_moa,target_size_moa,shot_id,outcome,true_prob,rest_bipod,rest_offhand,rest_prone_bag,rest_tripod,range_sq,wind_sq,range_x_wind,group_x_range,range_x_target,wind_cross_mph,wind_head_mph
josh,2025-10-06,6.5PRC,800,2745.6,10.3,40.2,285,7760,20.0,24.81,20.2,1.16,0.75,2025-10-06-0580,0,0.1101,False,False,False,True,640000,1616.0400000000002,32160.000000000004,927.9999999999999,600.0,10.404525613121317,-38.830218216820555
josh,2025-10-01,7mmPRC,700,2992.7,8.8,69.0,230,8382,20.0,24.91,10.0,0.57,1.0,2025-10-01-0404,0,0.0627,True,False,False,False,490000,4761.0,48300.0,398.99999999999994,700.0,-44.35234506837122,-52.85706657520947
josh,2025-10-11,6.5PRC,300,2764.0,6.9,46.2,15,8002,24.3,25.01,8.2,1.02,1.0,2025-10-11-0151,1,0.5264,False,False,True,False,90000,2134.44,13860.0,306.0,300.0,44.62577317455496,11.957439883736459
josh,2025-10-19,6.5PRC,1000,2749.3,9.0,63.0,87,7710,20.1,24.19,32.7,1.2,1.0,2025-10-19-0461,0,0.0174,True,False,False,False,1000000,3969.0,63000.0,1200.0,1000.0,3.2971652433054697,62.913660689538155
josh,2025-10-01,6.5PRC,600,2735.4,9.5,25.8,8,7716,21.6,24.57,34.6,1.12,1.0,2025-10-01-0493,0,0.4825,False,False,True,False,360000,665.64,15480.0,672.0000000000001,600.0,25.548916173532515,3.5906660047696883
josh,2025-10-13,7mmPRC,900,3005.7,11.4,92.4,359,7963,21.6,24.71,25.6,0.88,2.0,2025-10-13-0314,0,0.0074,True,False,False,False,810000,8537.76,83160.0,792.0,1800.0,92.38592703245055,-1.612602354805001
josh,2025-09-18,7mmPRC,300,2983.6,7.8,81.0,243,7887,23.8,25.12,45.5,0.77,0.75,2025-09-18-0042,0,0.1299,False,False,True,False,90000,6561.0,24300.0,231.0,225.0,-36.7732304789033,-72.17152845925779
not josh,2025-09-07,6.5PRC,600,2750.1,9.4,12.6,262,7950,23.8,24.93,5.1,0.96,1.0,2025-09-07-0110,1,0.6261,False,False,True,False,360000,158.76,7560.0,576.0,600.0,-1.7535810720968295,-12.477377666143784
josh,2025-09-24,7mmPRC,1000,2994.2,10.0,39.0,117,8021,27.2,24.99,24.5,0.81,0.5,2025-09-24-0293,0,0.0826,False,False,True,False,1000000,1521.0,39000.0,810.0,500.0,-17.705629489842323,34.749254443346345
josh,2025-11-03,7mmPRC,900,2990.1,6.5,57.0,356,7657,28.1,25.07,29.0,0.64,1.5,2025-11-03-0339,0,0.0799,False,False,True,False,810000,3249.0,51300.0,576.0,1350.0,56.86115086480998,-3.9761190034151612
josh,2025-10-12,6.5PRC,800,2756.5,13.1,29.4,279,7458,27.7,24.75,14.2,0.64,0.75,2025-10-12-0127,1,0.2655,False,False,True,False,640000,864.3599999999999,23520.0,512.0,600.0,4.599173272182782,-29.03803721349705
